1 | BSC | 101.1 | 102.1 | 94.5 | 101.1 | 94.5 | 6.6 | 5,610 | 308.9110 | 3,116,678 | 
2 | SEAPEARL | 53.1 | 55.6 | 53 | 53.1 | 54.6 | -1.5 | 4,578 | 229.4630 | 4,217,392 | 
3 | BRACBANK | 63.8 | 64.6 | 61.6 | 63.8 | 62.7 | 1.1 | 1,944 | 204.9560 | 3,254,883 | 
4 | RENATA | 516.9 | 535 | 494 | 516.9 | 494 | 22.9 | 3,681 | 202.4120 | 398,334 | 
5 | KBPPWBIL | 121.1 | 122.9 | 115.8 | 121.1 | 120.8 | 0.3 | 2,810 | 151.7460 | 1,262,422 | 
6 | LHB | 54.5 | 55.3 | 50.5 | 54.5 | 50.3 | 4.2 | 3,170 | 144.5130 | 2,698,437 | 
7 | IDLC | 37.8 | 38 | 34.6 | 37.8 | 34.6 | 3.2 | 2,177 | 140.9130 | 3,779,654 | 
8 | BXPHARMA | 100.5 | 101.4 | 97.2 | 100.5 | 97.2 | 3.3 | 2,404 | 108.4630 | 1,086,874 | 
9 | ACMEPL | 15.1 | 15.8 | 14.9 | 15.1 | 14.7 | 0.4 | 1,942 | 102.3300 | 6,651,932 | 
10 | NAVANAPHAR | 55.8 | 56.5 | 53 | 55.8 | 53.3 | 2.5 | 2,518 | 102.3130 | 1,868,422 | 
11 | RAHIMAFOOD | 127.1 | 133 | 124 | 127.1 | 122.7 | 4.4 | 3,561 | 95.4860 | 744,581 | 
12 | LOVELLO | 94.4 | 97.4 | 93.5 | 94.4 | 97.4 | -3 | 2,525 | 95.3930 | 1,002,778 | 
13 | ORIONINFU | 337.2 | 341 | 333.1 | 337.2 | 335.8 | 1.4 | 2,008 | 93.8730 | 279,156 | 
14 | IPDC | 17.2 | 17.6 | 16.3 | 17.2 | 16.3 | 0.9 | 2,138 | 91.6480 | 5,342,939 | 
15 | MIDLANDBNK | 25 | 26.7 | 24.7 | 25 | 25.8 | -0.8 | 1,932 | 90.1960 | 3,573,715 | 
16 | BATBC | 290.1 | 291 | 285.3 | 290.1 | 284.8 | 5.3 | 3,001 | 87.3130 | 301,918 | 
17 | BEACHHATCH | 48.9 | 49.7 | 48.6 | 48.9 | 49.6 | -0.7 | 2,646 | 87.2200 | 1,773,985 | 
18 | IBP | 14.5 | 15.1 | 14.4 | 14.5 | 14.3 | 0.2 | 1,925 | 85.3680 | 5,788,281 | 
19 | EHL | 78.8 | 80.3 | 77.5 | 78.8 | 77.8 | 1 | 1,698 | 85.3220 | 1,074,611 | 
20 | SQURPHARMA | 216.1 | 216.5 | 213 | 216.1 | 213 | 3.1 | 1,674 | 83.2230 | 386,604 | 
21 | EIL | 39.5 | 44 | 39.5 | 39.5 | 43.8 | -4.3 | 3,580 | 77.8860 | 1,904,644 | 
22 | PRIMEBANK | 26.1 | 26.3 | 25.2 | 26 | 25 | 1.1 | 660 | 77.2180 | 3,000,591 | 
23 | ASIATICLAB | 44.4 | 45 | 43.3 | 44.4 | 43.6 | 0.8 | 1,313 | 75.1420 | 1,704,168 | 
24 | QUASEMIND | 40.9 | 41.5 | 39.4 | 40.9 | 39.1 | 1.8 | 1,636 | 71.5260 | 1,761,832 | 
25 | LANKABAFIN | 16.9 | 17.4 | 16.1 | 16.9 | 16.1 | 0.8 | 1,626 | 68.5770 | 4,061,035 | 
26 | ROBI | 25.8 | 25.9 | 25.3 | 25.8 | 25.4 | 0.4 | 1,311 | 66.5570 | 2,595,315 | 
